08:59:41.320 |I| Core                           | RequestBuilder thread:9        | MsBuild process with Id = 188
08:59:41.328 |I| Core                           | RequestBuilder thread:9        | MsBuild location = /usr/share/dotnet/sdk/7.0.400/MSBuild.dll
08:59:41.328 |I| Core                           | RequestBuilder thread:9        | ServerGC = False
08:59:41.328 |I| Core                           | RequestBuilder thread:9        | 
08:59:41.328 |I| Core                           | RequestBuilder thread:9        | Start ControllerTask...
08:59:41.330 |I| Core                           | RequestBuilder thread:9        | Detected version: 17.7
08:59:41.330 |I| Core                           | RequestBuilder thread:9        | Creating SocketWire with port = 34039
08:59:41.396 |I| Core                           | RequestBuilder thread:9        | Create protocol...
08:59:41.535 |I| Core                           | RequestBuilder thread:9        | Create MsBuildModel and advise for new sessions...
08:59:41.605 |I| Core                           | RequestBuilder thread:9        | Subscribe for changes...
08:59:41.606 |I| Core                           | RequestBuilder thread:9        | Setup process watchdog...
08:59:41.631 |I| ProcessWatchdog                | WatchParentPid:126:15          | Monitoring parent process PID:126
08:59:41.632 |I| Core                           | RequestBuilder thread:9        | Run dispatcher...
08:59:41.781 |I| Core                           | RequestBuilder thread:9        | Get protocol session 'RdProjectModelSession'
08:59:41.797 |I| Core                           | RequestBuilder thread:9        | Msbuild session 'ProjectModelSessionHost' created
08:59:41.838 |I| Core                           | RequestBuilder thread:9        | Change Verbosity to INFO
08:59:41.923 |I| ProjectModel                   | RequestBuilder thread:9        | Reloading 18 project(s) in 1 node(s)...
08:59:41.924 |I| ProjectModel                   | RequestBuilder thread:9        | Reason: WarmStartup
08:59:41.949 |I| Build                          | MSBuild LoggingService events queue pump: 65273341:17 | Build started.
08:59:41.954 |I| BuildQueue                     | RequestBuilder thread:9        | Build queue: False
08:59:42.799 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Module.Worker.csproj
08:59:42.825 |I| Build                          | RequestBuilder thread:9        | Start build 'Module.Worker.csproj' with 1 target frameworks
08:59:42.884 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.907 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Core.Parameter.csproj
08:59:42.907 |I| Build                          | RequestBuilder thread:9        | Start build 'Core.Parameter.csproj' with 1 target frameworks
08:59:42.919 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.928 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\GameMain.csproj
08:59:42.928 |I| Build                          | RequestBuilder thread:9        | Start build 'GameMain.csproj' with 1 target frameworks
08:59:42.929 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.937 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Editor.csproj
08:59:42.937 |I| Build                          | RequestBuilder thread:9        | Start build 'Editor.csproj' with 1 target frameworks
08:59:42.939 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.948 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Module.Task.csproj
08:59:42.948 |I| Build                          | RequestBuilder thread:9        | Start build 'Module.Task.csproj' with 1 target frameworks
08:59:42.949 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.956 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Core.Model.csproj
08:59:42.956 |I| Build                          | RequestBuilder thread:9        | Start build 'Core.Model.csproj' with 1 target frameworks
08:59:42.961 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.966 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Module.Player.csproj
08:59:42.966 |I| Build                          | RequestBuilder thread:9        | Start build 'Module.Player.csproj' with 1 target frameworks
08:59:42.967 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:42.969 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Core.Utility.csproj
08:59:42.969 |I| Build                          | RequestBuilder thread:9        | Start build 'Core.Utility.csproj' with 1 target frameworks
08:59:42.984 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:59:44.454 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Module.Worker.csproj': Success
08:59:44.454 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Module.Worker.csproj': Success
08:59:44.905 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Core.Utility.csproj': Success
08:59:44.905 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Core.Utility.csproj': Success
08:59:45.002 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Module.Player.csproj': Success
08:59:45.003 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Module.Player.csproj': Success
08:59:45.242 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Core.Model.csproj': Success
08:59:45.242 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Core.Model.csproj': Success
08:59:45.424 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Module.Task.csproj': Success
08:59:45.424 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Module.Task.csproj': Success
08:59:45.607 |I| Build                          | .NET ThreadPool Worker:25      | Finish build part [1/1] for project 'Editor.csproj': Success
08:59:45.607 |I| Build                          | .NET ThreadPool Worker:25      | Finish build project 'Editor.csproj': Success
08:59:45.854 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'GameMain.csproj': Success
08:59:45.854 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'GameMain.csproj': Success
08:59:46.070 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Core.Parameter.csproj': Success
08:59:46.070 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Core.Parameter.csproj': Success
08:59:46.544 |I| Build                          | MSBuild LoggingService events queue pump: 65273341:17 | Build succeeded.
08:59:46.551 |I| ProjectModel                   | RequestBuilder thread:9        | Reloading has finished, statistic: 
	Total: 4.60 sec
	Binding: 0.45 sec
	Evaluation: 2.16 sec
09:00:18.407 |I| Core                           | RequestBuilder thread:9        | Msbuild session 'ProjectModelSessionHost' was terminated
09:00:18.407 |I| Core                           | RequestBuilder thread:9        | Connection lost, kill msbuild
