# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1693125694311000000,1693125754337000000,315500
FileNameCache.totalMisses,1693125694311000000,1693125754337000000,1418
FileNameCache.fastMisses,1693125694311000000,1693125754337000000,7189
JVM.totalCpuTimeMs,1693125694311000000,1693125754337000000,56330
JVM.GC.collectionTimesMs,1693125694311000000,1693125754337000000,1202
OS.loadAverage,1693125694311000000,1693125754337000000,3.28
JVM.threadCount,1693125694311000000,1693125754337000000,105
JVM.maxNativeBytes,1693125694311000000,1693125754337000000,-1
JVM.usedNativeBytes,1693125694311000000,1693125754337000000,299483568
JVM.GC.collections,1693125694311000000,1693125754337000000,24
JVM.maxHeapBytes,1693125694311000000,1693125754337000000,5091885056
JVM.usedHeapBytes,1693125694311000000,1693125754337000000,260706800
Indexes.allKeys.lookupDurationMaxMs,1693125694311000000,1693125754337000000,1.0
IndexesFlusher.totalFlushingTimeUs,1693125694311000000,1693125754337000000,791331
Indexes.allKeys.lookupDuration90PMs,1693125694311000000,1693125754337000000,1.0
VFSFlusher.totalFlushingTimeUs,1693125694311000000,1693125754337000000,12726
Indexes.entries.lookupDuration90PMs,1693125694311000000,1693125754337000000,22.0
Indexes.entries.lookupDurationMaxMs,1693125694311000000,1693125754337000000,22.0
Indexes.allKeys.lookupDurationAvgMs,1693125694311000000,1693125754337000000,0.5
Indexes.stubs.lookups,1693125694311000000,1693125754337000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1693125694311000000,1693125754337000000,43
IndexesFlusher.totalFlushes,1693125694311000000,1693125754337000000,85
VFSFlusher.totalFlushesRetried,1693125694311000000,1693125754337000000,0
VFSFlusher.totalContentionQuotaSpent,1693125694311000000,1693125754337000000,0
IndexesFlusher.totalFlushesRetried,1693125694311000000,1693125754337000000,2
