# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.delayed.project.synchronizer.sync.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1695709667041000000,1695709722965000000,0
workspaceModel.global.apply.state.to.project.ms,1695709667041000000,1695709722965000000,105
jps.load.initial.state.ms,1695709667041000000,1695709722965000000,16
jps.facet.change.listener.process.change.events.ms,1695709667041000000,1695709722965000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1695709667041000000,1695709722965000000,0
jps.artifact.entities.serializer.save.entities.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1695709667041000000,1695709722965000000,0
jps.global.get.library.by.name.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1695709667041000000,1695709722965000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1695709667041000000,1695709722965000000,7
workspaceModel.mutableEntityStorage.replace.by.source.ms,1695709667041000000,1695709722965000000,92
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1695709667041000000,1695709722965000000,1
workspaceModel.sync.entities.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1695709667041000000,1695709722965000000,0
jps.global.get.library.ms,1695709667041000000,1695709722965000000,0
workspaceModel.load.cache.from.file.ms,1695709667041000000,1695709722965000000,316
jps.reload.project.entities.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1695709667041000000,1695709722965000000,123
jps.facet.change.listener.before.change.events.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1695709667041000000,1695709722965000000,125
workspaceModel.moduleBridge.before.changed.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1695709667041000000,1695709722965000000,0
jps.storage.jps.conf.reader.load.component.ms,1695709667041000000,1695709722965000000,5
workspaceModel.moduleManagerBridge.load.module.ms,1695709667041000000,1695709722965000000,0
jps.app.storage.content.writer.save.component.ms,1695709667041000000,1695709722965000000,0
jps.library.entities.serializer.load.entities.ms,1695709667041000000,1695709722965000000,0
jps.artifact.entities.serializer.load.entities.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1695709667041000000,1695709722965000000,0
jps.project.serializers.load.ms,1695709667041000000,1695709722965000000,0
jps.global.handle.changed.events.ms,1695709667041000000,1695709722965000000,0
jps.global.initialize.library.bridges.ms,1695709667041000000,1695709722965000000,1
jps.global.handle.before.change.events.ms,1695709667041000000,1695709722965000000,0
jps.app.storage.content.reader.load.component.ms,1695709667041000000,1695709722965000000,0
jps.global.initialize.library.bridges.after.loading.ms,1695709667041000000,1695709722965000000,0
jps.save.global.entities.ms,1695709667041000000,1695709722965000000,0
jps.facet.change.listener.init.bridge.ms,1695709667041000000,1695709722965000000,0
jps.project.serializers.save.ms,1695709667041000000,1695709722965000000,2
workspaceModel.moduleBridge.update.option.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.entities.ms,1695709667041000000,1695709722965000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1695709667041000000,1695709722965000000,409
workspaceModel.mutableEntityStorage.put.entity.ms,1695709667041000000,1695709722965000000,52
jps.apply.loaded.storage.ms,1695709667041000000,1695709722965000000,0
workspaceModel.global.updates.count,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1695709667041000000,1695709722965000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1695709667041000000,1695709722965000000,18
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1695709667041000000,1695709722965000000,1
workspaceModel.save.cache.to.file.ms,1695709667041000000,1695709722965000000,1384
workspaceModel.orphan.listener.update.ms,1695709667041000000,1695709722965000000,2
workspaceModel.global.updates.ms,1695709667041000000,1695709722965000000,0
jps.library.entities.serializer.save.entities.ms,1695709667041000000,1695709722965000000,0
