# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1693126767592000000,1693126819925000000,3302654
NonBlockingReadAction.finalizedExecutionsCount,1693126767592000000,1693126819925000000,21
NonBlockingReadAction.failedExecutionTimeUs,1693126767592000000,1693126819925000000,522985
AWTEventQueue.dispatchTimeTotalNS,1693126767592000000,1693126819925000000,10064662571
NonBlockingReadAction.failedExecutionsCount,1693126767592000000,1693126819925000000,1
Indexes.entries.lookupDurationMaxMs,1693126767592000000,1693126819925000000,27.0
Indexes.stubs.lookups,1693126767592000000,1693126819925000000,0.0
Indexes.entries.lookups,1693126767592000000,1693126819925000000,1.0
Indexes.stubs.lookupDurationAvgMs,1693126767592000000,1693126819925000000,0.0
Indexes.stubs.lookupDuration90PMs,1693126767592000000,1693126819925000000,0.0
Indexes.entries.lookupDuration90PMs,1693126767592000000,1693126819925000000,27.0
Indexes.entries.lookupDurationAvgMs,1693126767592000000,1693126819925000000,27.0
Indexes.allKeys.lookupDurationMaxMs,1693126767592000000,1693126819925000000,0.0
Indexes.allKeys.lookupDuration90PMs,1693126767592000000,1693126819925000000,0.0
Indexes.allKeys.lookups,1693126767592000000,1693126819925000000,2.0
Indexes.allKeys.lookupDurationAvgMs,1693126767592000000,1693126819925000000,0.0
Indexes.stubs.lookupDurationMaxMs,1693126767592000000,1693126819925000000,0.0
workspaceModel.save.cache.to.file.ms,1693126767592000000,1693126819925000000,3465
workspaceModel.moduleManagerBridge.create.module.instance.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1693126767592000000,1693126819925000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1693126767592000000,1693126819925000000,0
jps.project.serializers.load.ms,1693126767592000000,1693126819925000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1693126767592000000,1693126819925000000,667
jps.global.handle.before.change.events.ms,1693126767592000000,1693126819925000000,0
jps.artifact.entities.serializer.load.entities.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1693126767592000000,1693126819925000000,2
jps.app.storage.content.reader.load.component.ms,1693126767592000000,1693126819925000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1693126767592000000,1693126819925000000,0
workspaceModel.load.cache.from.file.ms,1693126767592000000,1693126819925000000,416
jps.global.get.library.by.name.ms,1693126767592000000,1693126819925000000,0
jps.global.initialize.library.bridges.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1693126767592000000,1693126819925000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1693126767592000000,1693126819925000000,1
jps.reload.project.entities.ms,1693126767592000000,1693126819925000000,0
workspaceModel.global.apply.state.to.project.ms,1693126767592000000,1693126819925000000,93
workspaceModel.mutableEntityStorage.has.same.entities.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1693126767592000000,1693126819925000000,314
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1693126767592000000,1693126819925000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1693126767592000000,1693126819925000000,0
jps.project.serializers.save.ms,1693126767592000000,1693126819925000000,1
jps.load.initial.state.ms,1693126767592000000,1693126819925000000,20
workspaceModel.moduleBridgeLoader.loading.modules.ms,1693126767592000000,1693126819925000000,501
jps.apply.loaded.storage.ms,1693126767592000000,1693126819925000000,0
workspaceModel.sync.entities.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1693126767592000000,1693126819925000000,32
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.entities.ms,1693126767592000000,1693126819925000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1693126767592000000,1693126819925000000,0
jps.global.initialize.library.bridges.after.loading.ms,1693126767592000000,1693126819925000000,0
workspaceModel.orphan.listener.update.ms,1693126767592000000,1693126819925000000,4
jps.global.handle.changed.events.ms,1693126767592000000,1693126819925000000,0
jps.global.get.library.ms,1693126767592000000,1693126819925000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1693126767592000000,1693126819925000000,1
jps.load.project.to.empty.storage.ms,1693126767592000000,1693126819925000000,0
jps.facet.change.listener.init.bridge.ms,1693126767592000000,1693126819925000000,0
jps.library.entities.serializer.load.entities.ms,1693126767592000000,1693126819925000000,0
jps.save.changed.project.entities.ms,1693126767592000000,1693126819925000000,2
jps.artifact.entities.serializer.save.entities.ms,1693126767592000000,1693126819925000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1693126767592000000,1693126819925000000,0
jps.facet.change.listener.process.change.events.ms,1693126767592000000,1693126819925000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1693126767592000000,1693126819925000000,0
workspaceModel.moduleBridge.before.changed.ms,1693126767592000000,1693126819925000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1693126767592000000,1693126819925000000,82
