# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.ms,1696142025438000000,1696142068051000000,0
jps.global.get.library.ms,1696142025438000000,1696142068051000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1696142025438000000,1696142068051000000,1
workspaceModel.moduleBridge.before.changed.ms,1696142025438000000,1696142068051000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1696142025438000000,1696142068051000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1696142025438000000,1696142068051000000,1
jps.save.global.entities.ms,1696142025438000000,1696142068051000000,0
jps.project.serializers.load.ms,1696142025438000000,1696142068051000000,0
workspaceModel.global.apply.state.to.project.ms,1696142025438000000,1696142068051000000,111
workspaceModel.moduleManagerBridge.load.module.ms,1696142025438000000,1696142068051000000,0
jps.global.get.libraries.ms,1696142025438000000,1696142068051000000,1
jps.app.storage.content.reader.load.component.ms,1696142025438000000,1696142068051000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1696142025438000000,1696142068051000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1696142025438000000,1696142068051000000,5
workspaceModel.mutableEntityStorage.replace.by.source.ms,1696142025438000000,1696142068051000000,70
workspaceModel.mutableEntityStorage.put.entity.ms,1696142025438000000,1696142068051000000,22
jps.load.project.to.empty.storage.ms,1696142025438000000,1696142068051000000,0
workspaceModel.moduleBridge.update.option.ms,1696142025438000000,1696142068051000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1696142025438000000,1696142068051000000,0
workspaceModel.sync.entities.ms,1696142025438000000,1696142068051000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1696142025438000000,1696142068051000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1696142025438000000,1696142068051000000,0
jps.load.initial.state.ms,1696142025438000000,1696142068051000000,21
