Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
QodanaSanity;Qodana;Sanity;none;GLOBAL_SIMPLE;2.72;56.77%;-1;773
InjectedReferences;General;Injected references;none;LOCAL;2.06;43.00%;0;773
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.01;0.23%;0;773
