# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1695708961643000000,1695709012165000000,52756480
FilePageCache.disposedBuffers,1695708961643000000,1695709012165000000,404
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1695708961643000000,1695709012165000000,52756480
FilePageCache.maxRegisteredFiles,1695708961643000000,1695709012165000000,374
FilePageCache.uncachedFileAccess,1695708961643000000,1695709012165000000,83
FilePageCache.totalPageLoadsUs,1695708961643000000,1695709012165000000,945085
FilePageCache.pageFastCacheHits,1695708961643000000,1695709012165000000,170526
DirectByteBufferAllocator.hits,1695708961643000000,1695709012165000000,3
DirectByteBufferAllocator.reclaimed,1695708961643000000,1695709012165000000,84
FilePageCache.maxCacheSizeInBytes,1695708961643000000,1695709012165000000,184385536
FilePageCache.pageLoads,1695708961643000000,1695709012165000000,404
DirectByteBufferAllocator.disposed,1695708961643000000,1695709012165000000,320
FilePageCache.pageLoadsAboveSizeThreshold,1695708961643000000,1695709012165000000,0
FilePageCache.totalPageDisposalsUs,1695708961643000000,1695709012165000000,846
FilePageCache.pageHits,1695708961643000000,1695709012165000000,1237
StorageLockContext.competingThreads.90P,1695708961643000000,1695709012165000000,0
StorageLockContext.competingThreads.avg,1695708961643000000,1695709012165000000,0.010752688172043012
DirectByteBufferAllocator.misses,1695708961643000000,1695709012165000000,401
FilePageCache.capacityInBytes,1695708961643000000,1695709012165000000,524288000
StorageLockContext.competingThreads.max,1695708961643000000,1695709012165000000,1
workspaceModel.to.snapshot.ms,1695708961643000000,1695709012165000000,0
workspaceModel.update.unloaded.entities.ms,1695708961643000000,1695709012165000000,0
workspaceModel.updates.count,1695708961643000000,1695709012165000000,3
workspaceModel.loading.total.ms,1695708961643000000,1695709012165000000,356
workspaceModel.pre.handlers.ms,1695708961643000000,1695709012165000000,1
workspaceModel.initializing.ms,1695708961643000000,1695709012165000000,1
workspaceModel.loading.from.cache.ms,1695708961643000000,1695709012165000000,232
workspaceModel.replace.project.model.ms,1695708961643000000,1695709012165000000,107
workspaceModel.check.recursive.update.ms,1695708961643000000,1695709012165000000,1
workspaceModel.collect.changes.ms,1695708961643000000,1695709012165000000,0
workspaceModel.updates.precise.ms,1695708961643000000,1695709012165000000,52
workspaceModel.init.bridges.ms,1695708961643000000,1695709012165000000,1
